hochdeutsch,bischemerisch
auf dieser Seite,hüwe
auf einer Seite mit Zugtier bespannt,asechdi
auf Knall und Fall,Gnalefal
aufbegehren,uffbegere
Aufgabe,Uffgab
aufgebläht,uffgeblebt
Aufgebot,Uffgebot
aufgedunsen,gedrunse
aufgeflogen,uffkflouche
aufgegebene,Wüsting
aufgehängt,glüncht
aufgehängt,uffkengt
aufgehört,hört
aufgepasst,uffgebasst
aufgepasst,uffgepasst
aufgeregt,uffgrejcht
aufhängen,uffhenge
Aufkleber,Bäbber
auflüpfen,lupfe
aufpassen,uffpasse
Aufpasser,Uffbasser
aufräumen,uffrääme
aufschlagen,uffschloache
Aufstehen,n
Aufstehen,Uffsteh
aufstellen,stell
aufsässig,f
aufsässig,sedsi
aufsässig,uf
aufwachen,uffwache
aufwecken,uffwecke
aufzutreiben,uffzutreiwe
Auge,Aach
Auge,Ach
Augen,Aache
Augenschleim,Medsli
August,August
aus,aus
aus bereits gekelterten Trauben ein Getränk herstellen,laiere
aus dem,aus'm
aus Rahm verfeinert,Bibbeleskääs
aus Rahm verfeinert,Bibbeliskääs
aus zu roden,auszureude
ausbreiten,braat
ausbrüten,brüde
auseinander,ausenanner
ausgeblieben,ausgebliewe
ausgedacht,ausgedoocht
ausgesucht,ausgsücht
aushöhlen,aushöühle
ausmistet,mist
ausnehmen,ausnemme
ausruft,ausrüfft
Ausräuchern,Ausräuchere
Ausschlag,Durchschlechde
aussortiert,g'lese
aussortiert,g'läse
ausspucken,spatze
ausweichen,ausweiche
Auswuchs am Rebenzweig,Fegser
Auto,Auto
außen,aus
außen,ausse
außen,auße
Babette,Bawett
Baby,Bobbele
Bach,Boach
Bach,Boch
Bach,Bächle
Bachscheißer,Boachscheißer
Backe,Bag
Backe,e
Backe,g
backen,backe
backen,bage
Backen,Bagge
backt,beckd
backt,begt
Bad,Boad
baden,bade
baden,boade
badest,bedst
badet,bet
Badgarten,Boadgarde
Bagage,Bagaschi
Bahn,Bahn
Bahnstation,Statiönle
bald,bal
bald,bal'
bald,ball
bald,boald
bald,l
bald Altes,ball Näu's
bald darauf,balldruff
bald Neues,ball Näu's
Balg,Bolich
Balken,Balge
Balkengestell,stell
Balkenwerk im Keller,Gedrem
Ball,Boal
ballt,balld
Bank,Bengle
Bank,Benkle
Bank,Bo
Bank,Boonk
Bank,nk
Bank,o
bankrott,machulle
Bankrott gehen,machulle
Barbier,Balwier
barbieren,balwire
Bart,Baart
Bart,Boart
Bart,Boert
Bart Verniedlichungsform,Bärdle
